Region,ID,Name,WSP info,RRP info,Data (GB),Validity (Days),Wi-Fi Hotspot,Traffic Policy
  Antigua and Barbuda,JPEOYTNR7DRH,Antigua and Barbuda 5GB - 5 Days,14.63  $,23.99  $,5,5,Yes,Limit - Maximum Data 5GB
  Argentina,GTI6ES58T1CU,Argentina 10GB - 10 Days,13.17  $,22.99  $,10,10,Yes,Limit - Maximum Data 10GB
  Argentina,EAWV6SF2R0LZ,Argentina 10GB - 15 Days,13.89  $,23.99  $,10,15,Yes,Limit - Maximum Data 10GB
  Argentina,SEPPZCUBOQSJ,Argentina 10GB - 30 Days,14.49  $,25.99  $,10,30,Yes,Limit - Maximum Data 10GB
  Argentina,RDXZARWSOZYO,Argentina 10GB - 5 Days,11.85  $,21.99  $,10,5,Yes,Limit - Maximum Data 10GB
  Argentina,P7DJBNC15FXW,Argentina 1GB - 10 Days,2.59  $,5.99  $,1,10,Yes,Limit - Maximum Data 1GB
  Argentina,WBCO8IEHXPZF,Argentina 1GB - 15 Days,2.73  $,6.99  $,1,15,Yes,Limit - Maximum Data 1GB
  Argentina,XRFIW5OUGJ0Z,Argentina 1GB - 30 Days,2.85  $,8.99  $,1,30,Yes,Limit - Maximum Data 1GB
  Argentina,AQTPFUEIFXCA,Argentina 1GB - 5 Days,2.33  $,4.99  $,1,5,Yes,Limit - Maximum Data 1GB
  Argentina,J2VNA4BBITLY,Argentina 20GB - 10 Days,23.97  $,41.99  $,20,10,Yes,Limit - Maximum Data 20GB
  Argentina,EQTSRWHJMIUK,Argentina 20GB - 15 Days,25.29  $,42.99  $,20,15,Yes,Limit - Maximum Data 20GB
  Argentina,WO7S0GF1RVPC,Argentina 20GB - 30 Days,26.37  $,46.99  $,20,30,Yes,Limit - Maximum Data 20GB
  Argentina,TLPJYIWRCPIH,Argentina 20GB - 5 Days,21.57  $,40.99  $,20,5,Yes,Limit - Maximum Data 20GB
  Argentina,W9HBTDSNHDLN,Argentina 3GB - 10 Days,5.24  $,9.99  $,3,10,Yes,Limit - Maximum Data 3GB
  Argentina,DKHAEQOOIOYT,Argentina 3GB - 15 Days,5.53  $,9.99  $,3,15,Yes,Limit - Maximum Data 3GB
  Argentina,Z2O3UC7WHKRK,Argentina 3GB - 30 Days,5.76  $,12.99  $,3,30,Yes,Limit - Maximum Data 3GB
  Argentina,JKJLWUXNX16C,Argentina 3GB - 5 Days,4.72  $,8.99  $,3,5,Yes,Limit - Maximum Data 3GB
  Argentina,C67U2JNYE4JQ,Argentina 5GB - 10 Days,8.18  $,12.99  $,5,10,Yes,Limit - Maximum Data 5GB
  Argentina,W3XAGTRK63BS,Argentina 5GB - 15 Days,8.63  $,13.99  $,5,15,Yes,Limit - Maximum Data 5GB
  Argentina,ZKXBFI85NSBC,Argentina 5GB - 30 Days,9.00  $,15.99  $,5,30,Yes,Limit - Maximum Data 5GB
  Argentina,FT1GVRUWHODN,Argentina 5GB - 5 Days,7.36  $,11.99  $,5,5,Yes,Limit - Maximum Data 5GB
  Argentina,EPCK286EOBDT,Argentina Unlimited MAX - 10 Days,28.99  $,44.99  $,Unlimited,10,Yes,"Daily - 5GB per Day, then 1Mbps"
  Argentina,KTHQZ3NFBMHD,Argentina Unlimited MAX - 15 Days,40.59  $,69.99  $,Unlimited,15,Yes,"Daily - 5GB per Day, then 1Mbps"
  Argentina,5S7UH1ZYAJBJ,Argentina Unlimited MAX - 30 Days,52.19  $,99.99  $,Unlimited,30,Yes,"Daily - 5GB per Day, then 1Mbps"
  Argentina,VJA4HO8UXPBX,Argentina Unlimited MAX - 5 Days,17.39  $,29.99  $,Unlimited,5,Yes,"Daily - 5GB per Day, then 1Mbps"
  Argentina,6LOWEOLWI4NU,Argentina Unlimited STANDARD - 10 Days,35.99  $,39.99  $,Unlimited,10,Yes,"Daily - 3GB per Day, then 1Mbps"
  Argentina,JT7VGL9VLU0X,Argentina Unlimited STANDARD - 15 Days,31.31  $,59.99  $,Unlimited,15,Yes,"Daily - 3GB per Day, then 1Mbps"
  Argentina,JTZGVIPC6THN,Argentina Unlimited STANDARD - 30 Days,46.97  $,89.99  $,Unlimited,30,Yes,"Daily - 3GB per Day, then 1Mbps"
  Argentina,HTKF36PRVARS,Argentina Unlimited STANDARD - 5 Days,13.04  $,24.99  $,Unlimited,5,Yes,"Daily - 3GB per Day, then 1Mbps"
  Armenia,176JLSQTRJNX,Armenia 10GB - 10 Days,10.39  $,13.99  $,10,10,Yes,Limit - Maximum Data 10GB
  Armenia,WTX4BMCURU1R,Armenia 10GB - 15 Days,10.96  $,14.99  $,10,15,Yes,Limit - Maximum Data 10GB
  Armenia,RXZ120RANXCL,Armenia 10GB - 30 Days,11.43  $,16.99  $,10,30,Yes,Limit - Maximum Data 10GB
  Armenia,4BMRWZ39GO5A,Armenia 10GB - 5 Days,9.35  $,12.99  $,10,5,Yes,Limit - Maximum Data 10GB
  Armenia,OMPAOMVV1KX4,Armenia 1GB - 10 Days,2.24  $,4.99  $,1,10,Yes,Limit - Maximum Data 1GB
  Armenia,XLT4FUT18WDT,Armenia 1GB - 15 Days,2.36  $,4.99  $,1,15,Yes,Limit - Maximum Data 1GB
  Armenia,792FKBAX6HT4,Armenia 1GB - 30 Days,2.46  $,7.99  $,1,30,Yes,Limit - Maximum Data 1GB
  Armenia,E1HKUCQPJG3V,Armenia 1GB - 5 Days,2.02  $,3.99  $,1,5,Yes,Limit - Maximum Data 1GB
  Armenia,TIF0MANU9QZU,Armenia 20GB - 10 Days,15.95  $,24.99  $,20,10,Yes,Limit - Maximum Data 20GB
  Armenia,UCFNVSEIJ4CY,Armenia 20GB - 15 Days,16.83  $,24.99  $,20,15,Yes,Limit - Maximum Data 20GB
  Armenia,U14M5DMI1TRE,Armenia 20GB - 30 Days,17.55  $,27.99  $,20,30,Yes,Limit - Maximum Data 20GB
  Armenia,4TARMGMQE4U7,Armenia 20GB - 5 Days,14.36  $,23.99  $,20,5,Yes,Limit - Maximum Data 20GB
  Armenia,UO3PHBWGZ72Y,Armenia 3GB - 10 Days,4.41  $,8.99  $,3,10,Yes,Limit - Maximum Data 3GB
  Armenia,WSYMF9O2DPCA,Armenia 3GB - 15 Days,4.65  $,9.99  $,3,15,Yes,Limit - Maximum Data 3GB
  Armenia,MI4YORQGJX52,Armenia 3GB - 30 Days,4.85  $,9.99  $,3,30,Yes,Limit - Maximum Data 3GB
  Armenia,BUS8WKR4CGVB,Armenia 3GB - 5 Days,3.97  $,7.99  $,3,5,Yes,Limit - Maximum Data 3GB
  Armenia,Q7TFVRY4HZRV,Armenia 5GB - 10 Days,6.37  $,6.99  $,5,10,Yes,Limit - Maximum Data 5GB
  Armenia,H6ALN2SUY1DZ,Armenia 5GB - 15 Days,6.72  $,7.99  $,5,15,Yes,Limit - Maximum Data 5GB
  Armenia,TCQFEDQ77PTH,Armenia 5GB - 30 Days,7.01  $,9.99  $,5,30,Yes,Limit - Maximum Data 5GB
  Armenia,OGPINSUXNLQW,Armenia 5GB - 5 Days,5.73  $,5.99  $,5,5,Yes,Limit - Maximum Data 5GB
